Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.55,-.39,-.27,-.37,-.11,-.23,-.24,-.25,-.27,-.33,-.38,-.49,-.33,***,***,-.25,-.24,-.33
1881,-.20,-.26,.01,-.03,-.06,-.36,-.06,-.03,-.23,-.40,-.42,-.28,-.19,-.21,-.32,-.03,-.15,-.35
1882,.22,.22,.00,-.36,-.32,-.38,-.37,-.14,-.17,-.53,-.33,-.42,-.22,-.20,.05,-.23,-.30,-.34
1883,-.60,-.69,-.16,-.28,-.33,-.26,-.10,-.26,-.34,-.22,-.41,-.26,-.33,-.34,-.57,-.26,-.21,-.32
1884,-.23,-.13,-.66,-.63,-.42,-.53,-.48,-.51,-.45,-.41,-.48,-.40,-.44,-.43,-.21,-.57,-.51,-.45
1885,-1.00,-.37,-.21,-.53,-.55,-.47,-.38,-.44,-.32,-.30,-.28,.01,-.40,-.44,-.59,-.43,-.43,-.30
1886,-.68,-.68,-.57,-.34,-.34,-.43,-.20,-.47,-.34,-.32,-.44,-.17,-.42,-.40,-.45,-.42,-.36,-.37
1887,-1.06,-.58,-.37,-.42,-.27,-.20,-.22,-.52,-.17,-.41,-.19,-.44,-.40,-.38,-.60,-.35,-.31,-.26
1888,-.53,-.60,-.58,-.25,-.17,-.05,.02,-.21,-.14,.02,-.03,-.27,-.23,-.25,-.52,-.33,-.08,-.05
1889,-.32,.33,.06,.14,-.06,-.13,-.11,-.18,-.28,-.35,-.62,-.56,-.17,-.15,-.08,.04,-.14,-.41
1890,-.65,-.58,-.45,-.37,-.50,-.22,-.25,-.39,-.42,-.09,-.71,-.44,-.42,-.43,-.60,-.44,-.29,-.40
1891,-.60,-.73,-.14,-.34,-.23,-.16,-.15,-.10,-.05,-.28,-.58,-.04,-.28,-.32,-.59,-.24,-.14,-.30
1892,-.46,-.17,-.57,-.48,-.29,-.12,-.39,-.29,-.13,-.23,-.81,-.65,-.38,-.33,-.22,-.45,-.27,-.39
1893,-1.48,-.90,-.29,-.30,-.44,-.22,-.14,-.34,-.23,-.23,-.26,-.64,-.46,-.46,-1.01,-.34,-.23,-.24
1894,-.87,-.44,-.21,-.60,-.34,-.48,-.24,-.23,-.27,-.25,-.48,-.31,-.39,-.42,-.65,-.38,-.32,-.33
1895,-.73,-.78,-.39,-.24,-.30,-.26,-.18,-.25,.01,-.05,-.06,-.24,-.29,-.29,-.61,-.31,-.23,-.03
1896,-.44,-.22,-.49,-.61,-.22,.01,-.02,-.07,-.05,.14,-.25,-.19,-.20,-.20,-.30,-.44,-.03,-.05
1897,-.37,-.35,-.38,-.06,.07,-.13,-.01,-.10,-.04,-.14,-.26,-.28,-.17,-.16,-.30,-.12,-.08,-.15
1898,.04,-.43,-.77,-.30,-.31,-.12,-.14,-.16,-.17,-.36,-.46,-.27,-.29,-.29,-.22,-.46,-.14,-.33
1899,-.14,-.68,-.53,-.21,-.27,-.39,-.21,-.04,-.01,.06,.37,-.48,-.21,-.19,-.36,-.34,-.21,.14
1900,-.61,-.06,.11,-.14,-.04,-.16,-.14,-.09,.01,.24,-.16,-.01,-.09,-.13,-.38,-.03,-.13,.03
1901,-.35,.06,.34,.10,-.12,.02,.01,-.14,-.27,-.32,-.20,-.40,-.11,-.07,-.10,.11,-.04,-.26
1902,-.17,.10,-.38,-.42,-.46,-.46,-.33,-.33,-.33,-.34,-.52,-.66,-.36,-.34,-.16,-.42,-.37,-.40
1903,-.24,.17,-.14,-.48,-.50,-.53,-.47,-.60,-.48,-.48,-.45,-.57,-.40,-.41,-.25,-.37,-.53,-.47
1904,-.83,-.59,-.42,-.57,-.50,-.52,-.62,-.54,-.59,-.39,-.13,-.36,-.50,-.52,-.66,-.50,-.56,-.37
1905,-.51,-.82,-.25,-.47,-.34,-.33,-.25,-.25,-.15,-.26,.06,-.26,-.32,-.33,-.56,-.35,-.28,-.12
1906,-.56,-.59,-.18,.05,-.25,-.11,-.29,-.13,-.21,-.15,-.41,.00,-.24,-.26,-.47,-.13,-.18,-.25
1907,-.55,-.73,-.28,-.48,-.61,-.52,-.43,-.38,-.38,-.20,-.60,-.60,-.48,-.43,-.42,-.46,-.44,-.39
1908,-.54,-.26,-.68,-.49,-.38,-.37,-.42,-.57,-.31,-.46,-.60,-.55,-.47,-.47,-.46,-.52,-.45,-.46
1909,-.88,-.48,-.62,-.69,-.52,-.53,-.44,-.32,-.33,-.30,-.11,-.55,-.48,-.48,-.64,-.61,-.43,-.25
