Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.02,.04,.05,-.01,-.12,-.23,-.17,.07,-.04,-.14,-.01,.05,-.04,***,***,-.02,-.11,-.06
1881,-.10,-.08,.07,.11,.10,-.04,-.06,-.01,-.04,-.01,-.01,.07,.00,.00,-.05,.09,-.04,-.02
1882,.07,.08,.08,-.01,.01,-.13,-.03,.04,-.02,.03,.00,-.07,.00,.02,.08,.03,-.04,.00
1883,-.03,-.10,-.09,-.06,-.07,.01,-.06,-.03,-.07,-.06,-.04,-.05,-.05,-.06,-.07,-.07,-.03,-.06
1884,-.07,-.04,-.09,-.22,-.31,-.29,-.21,-.03,-.10,-.07,-.12,-.17,-.14,-.13,-.05,-.21,-.18,-.10
1885,-.19,-.23,-.30,-.32,-.29,-.41,-.32,-.19,-.16,-.10,-.12,-.10,-.23,-.23,-.20,-.30,-.31,-.13
1886,-.17,-.23,-.20,-.21,-.17,-.34,-.23,-.21,-.17,-.25,-.17,-.34,-.22,-.20,-.17,-.20,-.26,-.20
1887,-.39,-.46,-.30,-.34,-.36,-.26,-.23,-.12,-.27,-.24,-.26,-.23,-.29,-.30,-.39,-.33,-.20,-.26
1888,-.22,-.13,-.25,-.20,-.28,-.32,-.21,-.11,-.06,.02,.06,.13,-.13,-.16,-.19,-.24,-.21,.00
1889,.08,.03,.09,.00,.01,-.14,-.09,-.22,-.17,-.11,-.05,-.04,-.05,-.03,.08,.04,-.15,-.11
1890,-.23,-.33,-.35,-.37,-.43,-.32,-.29,-.38,-.38,-.40,-.27,-.19,-.33,-.32,-.20,-.38,-.33,-.35
1891,-.24,-.26,-.25,-.23,-.15,-.26,-.27,-.23,-.25,-.17,-.14,-.06,-.21,-.22,-.23,-.21,-.25,-.19
1892,-.11,-.07,-.14,-.21,-.22,-.35,-.27,-.21,-.13,-.02,-.03,-.13,-.16,-.15,-.08,-.19,-.28,-.06
1893,-.13,-.19,-.17,-.29,-.28,-.34,-.19,-.20,-.19,-.10,-.08,-.06,-.19,-.19,-.15,-.25,-.25,-.12
1894,-.20,-.23,-.28,-.36,-.36,-.39,-.27,-.22,-.23,-.17,-.03,-.08,-.24,-.23,-.16,-.33,-.29,-.14
1895,-.16,-.08,-.19,-.25,-.23,-.22,-.16,-.07,-.18,-.11,-.22,-.06,-.16,-.16,-.11,-.22,-.15,-.17
1896,-.07,-.07,-.03,-.01,-.14,-.28,-.05,-.01,-.01,.10,.10,.12,-.03,-.04,-.07,-.06,-.11,.06
1897,.08,.05,.11,.01,-.15,-.18,-.12,-.12,-.11,-.11,-.12,-.09,-.06,-.04,.08,-.01,-.14,-.11
1898,-.08,-.14,-.26,-.35,-.32,-.29,-.33,-.34,-.26,-.31,-.30,-.23,-.27,-.26,-.11,-.31,-.32,-.29
1899,-.24,-.14,-.15,-.21,-.20,-.27,-.15,-.10,-.05,-.15,-.12,-.09,-.15,-.17,-.20,-.19,-.17,-.10
1900,-.14,.01,-.08,-.10,-.16,-.10,-.10,-.11,-.10,-.04,-.02,-.12,-.09,-.09,-.07,-.11,-.10,-.05
1901,-.12,-.14,-.17,-.17,-.20,-.27,-.30,-.26,-.17,-.31,-.13,-.15,-.20,-.20,-.13,-.18,-.28,-.20
1902,-.23,-.18,-.20,-.20,-.26,-.25,-.26,-.33,-.25,-.28,-.27,-.26,-.25,-.24,-.18,-.22,-.28,-.27
1903,-.27,-.26,-.33,-.39,-.40,-.41,-.30,-.39,-.50,-.50,-.47,-.50,-.39,-.37,-.26,-.37,-.37,-.49
1904,-.53,-.59,-.60,-.53,-.62,-.51,-.46,-.48,-.48,-.41,-.30,-.34,-.49,-.50,-.54,-.58,-.48,-.40
1905,-.29,-.38,-.22,-.25,-.32,-.28,-.33,-.20,-.22,-.25,-.25,-.10,-.26,-.28,-.33,-.26,-.27,-.24
1906,.01,-.02,-.15,-.14,-.25,-.31,-.22,-.27,-.33,-.24,-.37,-.34,-.22,-.20,-.04,-.18,-.26,-.31
1907,-.28,-.31,-.25,-.29,-.33,-.35,-.32,-.33,-.29,-.28,-.37,-.37,-.32,-.31,-.31,-.29,-.33,-.32
1908,-.33,-.37,-.40,-.42,-.46,-.46,-.39,-.37,-.42,-.46,-.41,-.45,-.41,-.40,-.36,-.42,-.41,-.43
1909,-.51,-.47,-.41,-.52,-.60,-.53,-.47,-.32,-.40,-.45,-.52,-.56,-.48,-.47,-.48,-.51,-.44,-.46
1910,-.50,-.46,-.54,-.45,-.38,-.31,-.31,-.33,-.35,-.50,-.53,-.53,-.43,-.43,-.50,-.46,-.32,-.46
1911,-.52,-.57,-.59,-.63,-.56,-.62,-.44,-.43,-.44,-.33,-.23,-.12,-.46,-.49,-.54,-.60,-.50,-.33
1912,-.16,-.11,-.13,-.16,-.26,-.31,-.32,-.32,-.31,-.31,-.26,-.29,-.24,-.23,-.13,-.19,-.32,-.29
1913,-.25,-.26,-.40,-.28,-.31,-.39,-.15,-.19,-.27,-.25,-.23,-.15,-.26,-.27,-.27,-.33,-.24,-.25
1914,-.09,-.10,-.13,-.20,-.21,-.24,-.11,-.04,-.01,-.05,-.08,-.02,-.11,-.12,-.11,-.18,-.13,-.05
1915,-.14,.04,.05,.08,-.07,-.29,-.12,-.24,-.19,-.20,-.21,-.17,-.12,-.11,-.04,.02,-.22,-.20
1916,-.16,-.13,-.16,-.25,-.31,-.49,-.41,-.19,-.22,-.27,-.44,-.51,-.29,-.27,-.15,-.24,-.36,-.31
1917,-.61,-.59,-.52,-.45,-.36,-.37,-.17,-.04,-.12,-.23,-.34,-.27,-.34,-.36,-.57,-.45,-.20,-.23
1918,-.27,-.24,-.26,-.29,-.37,-.28,-.25,-.26,-.07,-.05,.03,.00,-.19,-.22,-.26,-.31,-.26,-.03
1919,-.01,-.07,-.02,-.01,-.11,-.31,-.23,-.36,-.30,-.29,-.34,-.27,-.19,-.17,-.03,-.05,-.30,-.31
1920,-.34,-.24,-.22,-.27,-.30,-.45,-.37,-.19,-.07,-.14,-.08,-.20,-.24,-.24,-.28,-.26,-.34,-.10
1921,-.28,-.28,-.37,-.43,-.34,-.39,-.25,-.21,-.19,-.04,-.17,-.20,-.26,-.26,-.25,-.38,-.29,-.14
1922,-.27,-.24,-.18,-.29,-.45,-.47,-.25,-.29,-.27,-.33,-.16,-.23,-.29,-.28,-.24,-.30,-.34,-.25
1923,-.35,-.31,-.27,-.27,-.28,-.31,-.33,-.35,-.40,-.32,-.18,-.15,-.29,-.30,-.30,-.27,-.33,-.30
1924,-.15,-.24,-.17,-.33,-.29,-.28,-.35,-.44,-.43,-.45,-.52,-.46,-.34,-.32,-.18,-.27,-.36,-.46
1925,-.48,-.40,-.31,-.34,-.37,-.40,-.30,-.16,-.32,-.27,-.12,-.08,-.30,-.33,-.45,-.34,-.29,-.23
1926,-.11,-.11,-.12,-.11,-.21,-.26,-.31,-.17,-.20,-.25,-.25,-.27,-.20,-.18,-.10,-.15,-.24,-.23
1927,-.26,-.27,-.29,-.33,-.37,-.40,-.32,-.31,-.25,-.24,-.19,-.26,-.29,-.29,-.26,-.33,-.34,-.23
1928,-.28,-.26,-.27,-.24,-.43,-.44,-.27,-.27,-.25,-.29,-.22,-.27,-.29,-.29,-.27,-.31,-.33,-.25
1929,-.35,-.37,-.46,-.46,-.48,-.45,-.36,-.44,-.29,-.26,-.21,-.40,-.38,-.37,-.33,-.47,-.42,-.26
1930,-.49,-.35,-.33,-.33,-.28,-.29,-.37,-.32,-.26,-.25,-.07,-.18,-.29,-.31,-.42,-.31,-.33,-.19
1931,-.22,-.17,-.14,-.26,-.24,-.30,-.15,-.16,-.31,-.26,-.37,-.21,-.23,-.23,-.19,-.21,-.21,-.31
1932,-.12,-.16,-.17,-.23,-.27,-.44,-.34,-.37,-.32,-.34,-.24,-.33,-.28,-.27,-.17,-.22,-.39,-.30
1933,-.30,-.30,-.28,-.32,-.33,-.38,-.32,-.33,-.31,-.31,-.39,-.37,-.33,-.33,-.31,-.31,-.35,-.34
1934,-.31,-.43,-.34,-.34,-.28,-.28,-.18,-.15,-.20,-.27,-.22,-.25,-.27,-.28,-.37,-.32,-.20,-.23
1935,-.28,-.33,-.33,-.40,-.29,-.40,-.40,-.38,-.37,-.24,-.21,-.20,-.32,-.32,-.28,-.34,-.39,-.27
1936,-.27,-.26,-.31,-.35,-.34,-.48,-.30,-.31,-.25,-.13,-.14,-.20,-.28,-.28,-.24,-.33,-.36,-.17
1937,-.27,-.22,-.21,-.27,-.25,-.24,-.24,-.12,-.11,-.16,-.08,-.16,-.19,-.20,-.23,-.24,-.20,-.12
1938,-.22,-.24,-.18,-.23,-.23,-.29,-.18,-.23,-.18,-.07,-.21,-.17,-.20,-.20,-.21,-.21,-.23,-.15
1939,-.17,-.16,-.16,-.15,-.11,-.15,-.18,-.20,-.27,-.16,-.12,.06,-.15,-.17,-.17,-.14,-.18,-.18
1940,.10,.02,.14,.05,.06,.06,.09,.07,.06,-.06,.04,.26,.07,.06,.06,.08,.07,.01
1941,.18,.15,.08,.20,.12,.07,.20,.13,-.04,.22,.29,.25,.15,.16,.19,.14,.14,.16
1942,.20,.13,.11,.11,.06,-.01,-.01,.02,-.15,-.26,-.09,-.04,.01,.03,.20,.09,.00,-.17
1943,.07,-.05,-.09,-.10,-.10,-.04,.17,-.09,-.03,.00,.03,.08,-.01,-.02,-.01,-.10,.01,.00
1944,.09,.06,.21,.21,.16,.24,.24,.22,.23,.09,.01,.08,.15,.15,.08,.19,.23,.11
1945,.11,.08,.03,.10,.03,-.08,.02,.24,.25,.16,.07,.08,.09,.09,.09,.06,.06,.16
1946,-.04,-.04,-.09,-.19,-.17,-.39,-.24,-.28,-.13,-.16,-.19,-.17,-.17,-.15,.00,-.15,-.30,-.16
1947,-.10,-.14,-.18,-.11,-.09,.02,-.10,-.12,-.24,-.27,-.15,-.24,-.14,-.14,-.14,-.13,-.07,-.22
1948,-.19,-.15,-.22,-.20,-.16,-.16,-.24,-.27,-.23,-.20,-.31,-.10,-.20,-.22,-.20,-.19,-.22,-.25
1949,-.10,-.19,-.08,-.19,-.18,-.29,-.17,-.20,-.20,-.22,-.24,-.23,-.19,-.18,-.13,-.15,-.22,-.22
1950,-.25,-.26,-.22,-.19,-.18,-.03,-.02,-.11,-.16,-.36,-.38,-.33,-.21,-.20,-.25,-.20,-.06,-.30
1951,-.34,-.33,-.25,-.34,-.18,-.06,-.03,-.10,-.14,-.14,-.12,-.06,-.17,-.20,-.34,-.26,-.06,-.14
1952,.09,.06,.06,-.12,-.19,-.22,-.06,.03,-.01,.01,-.07,-.05,-.04,-.04,.03,-.08,-.08,-.02
1953,-.09,-.08,-.04,-.06,-.04,-.02,-.20,-.05,-.08,-.12,-.14,-.12,-.09,-.08,-.07,-.05,-.09,-.11
1954,-.25,-.20,-.13,-.27,-.32,-.32,-.29,-.33,-.28,-.18,-.21,-.27,-.26,-.24,-.19,-.24,-.31,-.23
1955,-.17,-.20,-.23,-.20,-.29,-.16,-.21,-.04,-.22,-.23,-.16,-.29,-.20,-.20,-.21,-.24,-.14,-.20
1956,-.22,-.17,-.19,-.29,-.30,-.14,-.03,-.26,-.08,-.19,-.05,-.01,-.16,-.18,-.22,-.26,-.14,-.11
1957,-.05,-.02,.00,.09,.24,.21,-.09,.13,.03,-.04,.02,.05,.05,.04,-.03,.11,.08,.00
1958,.08,.16,.01,.00,.00,-.18,.07,-.20,-.09,.01,-.01,-.16,-.03,-.01,.10,.01,-.10,-.03
1959,-.09,-.01,.03,.07,.06,-.09,.06,-.10,-.22,-.11,-.18,-.10,-.06,-.06,-.09,.05,-.04,-.17
1960,-.15,-.15,-.27,-.15,-.18,-.25,-.14,-.07,.02,.07,-.15,-.03,-.12,-.13,-.14,-.20,-.16,-.02
1961,-.02,.10,-.04,.12,.18,.03,-.08,-.02,.17,.03,-.02,-.15,.03,.04,.02,.09,-.02,.06
1962,-.17,-.10,-.10,-.14,-.15,.18,-.08,-.08,.02,-.13,-.01,-.15,-.08,-.08,-.14,-.13,.01,-.04
1963,-.14,-.13,-.16,-.17,-.05,.13,.05,.35,.26,-.11,-.15,-.09,-.02,-.02,-.14,-.12,.18,.00
1964,-.13,-.17,-.12,-.33,-.39,.03,.05,-.20,-.29,-.31,-.21,-.32,-.20,-.18,-.13,-.28,-.04,-.27
1965,-.14,.03,-.18,-.12,-.17,.03,-.08,.13,-.11,-.07,-.17,-.07,-.08,-.10,-.14,-.15,.03,-.12
1966,-.13,-.11,.10,-.02,-.20,-.03,.07,-.30,-.12,-.21,-.04,-.02,-.09,-.09,-.10,-.04,-.09,-.13
1967,.03,-.03,-.13,-.15,.06,-.11,-.03,-.05,-.11,-.13,-.16,-.12,-.08,-.07,-.01,-.07,-.06,-.13
1968,-.22,-.12,-.06,-.12,-.22,-.12,-.16,-.08,-.31,.18,.12,.05,-.09,-.10,-.15,-.14,-.12,.00
1969,.22,.15,.18,.32,.26,.16,-.10,.03,.13,.23,.10,.19,.16,.14,.14,.25,.03,.15
1970,.22,.14,.23,.19,-.05,-.03,.00,-.11,.25,.26,.01,.06,.10,.11,.18,.12,-.05,.18
1971,.09,-.10,-.09,.04,.02,-.24,-.10,.11,.05,.03,-.12,-.03,-.03,-.02,.01,-.01,-.07,-.01
1972,.09,.20,.07,.13,.10,.21,.08,.41,.32,.23,.29,.45,.22,.18,.09,.10,.23,.28
1973,.42,.19,.23,.35,.39,.19,.19,.06,.26,.30,.20,-.11,.22,.27,.35,.32,.15,.25
1974,.02,-.19,-.14,-.12,.13,.07,.03,.31,-.06,.08,.09,.10,.03,.01,-.09,-.04,.14,.04
1975,.02,.06,.13,.03,.31,.06,.05,-.23,.03,-.05,-.03,-.13,.02,.04,.06,.16,-.04,-.02
1976,-.11,-.01,-.10,-.18,-.20,-.09,.08,-.05,-.06,-.02,.25,.47,.00,-.05,-.08,-.16,-.02,.06
1977,.54,.33,.23,.27,.38,.29,.34,.30,-.12,.08,.08,.04,.23,.27,.45,.29,.31,.01
1978,-.01,.14,.21,.24,.21,.11,.14,-.20,.11,.05,.14,.14,.11,.10,.06,.22,.02,.10
1979,.22,.15,.20,.42,.10,.21,.01,.24,.33,.27,.33,.42,.24,.22,.17,.24,.15,.31
1980,.39,.42,.54,.53,.49,.17,.44,.36,.30,.21,.37,.32,.38,.39,.41,.52,.32,.30
1981,.24,.19,.29,.25,.33,.32,.55,.45,.15,.04,.11,.28,.27,.27,.25,.29,.44,.10
1982,.27,.15,-.06,.06,.24,.10,.21,.22,.22,.26,.44,.49,.22,.20,.24,.08,.18,.31
1983,.49,.44,.40,.54,.67,.29,.16,.41,.51,.22,.12,.22,.37,.39,.47,.54,.29,.28
1984,.27,.28,.37,.24,.44,.00,.25,.28,.44,.26,.24,.32,.28,.27,.26,.35,.18,.31
1985,.36,.19,.35,.28,.26,.31,.09,.30,.27,.21,.14,.15,.24,.26,.29,.29,.23,.21
1986,.21,.43,.31,.34,.30,.10,.25,.20,.01,.22,.22,.25,.24,.23,.26,.32,.18,.15
1987,.43,.35,.31,.38,.29,.55,.63,.30,.36,.41,.43,.42,.41,.39,.34,.33,.49,.40
1988,.54,.42,.54,.45,.44,.45,.28,.65,.53,.53,.20,.18,.44,.45,.46,.48,.46,.42
