Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.19,-.33,-.04,-.41,-.15,-.01,-1.06,-.51,-.26,-.20,-.11,-.03,.05,.65
1881,-.10,-.19,.00,-.34,.06,-.06,-.95,-.49,-.14,.04,.09,-.05,-.07,.57
1882,-.10,-.22,.00,-.30,-.06,.03,-1.53,-.28,-.08,-.08,-.04,.04,.04,.60
1883,-.19,-.33,-.05,-.39,-.20,.02,-.47,-.62,-.22,-.23,-.16,.00,.07,.48
1884,-.29,-.44,-.14,-.58,-.20,-.13,-1.43,-.62,-.40,-.22,-.17,-.17,-.02,.63
1885,-.31,-.40,-.23,-.59,-.14,-.25,-1.26,-.67,-.41,-.09,-.20,-.29,-.15,.80
1886,-.32,-.42,-.22,-.52,-.24,-.21,-1.33,-.48,-.39,-.24,-.24,-.20,-.20,.57
1887,-.35,-.40,-.29,-.47,-.31,-.27,-1.64,-.46,-.25,-.30,-.32,-.26,-.26,.30
1888,-.18,-.23,-.13,-.42,.08,-.28,-1.56,-.42,-.21,.07,.09,-.30,-.22,.14
1889,-.11,-.17,-.05,-.28,.05,-.15,-.95,-.19,-.20,.00,.11,-.14,-.15,.43
1890,-.37,-.42,-.33,-.48,-.41,-.22,-1.38,-.54,-.26,-.33,-.49,-.17,-.27,.13
1891,-.24,-.28,-.21,-.44,-.13,-.20,-1.42,-.31,-.32,-.04,-.22,-.17,-.24,-.18
1892,-.27,-.38,-.16,-.42,-.30,-.07,-1.40,-.59,-.11,-.33,-.27,.03,-.21,.07
1893,-.32,-.46,-.19,-.48,-.39,-.06,-1.00,-.50,-.35,-.42,-.36,.04,-.20,-.06
1894,-.32,-.39,-.24,-.34,-.36,-.24,-1.45,-.26,-.12,-.48,-.23,-.15,-.35,-.40
1895,-.22,-.29,-.16,-.38,-.09,-.25,-1.01,-.44,-.18,-.14,-.04,-.19,-.32,-.60
1896,-.11,-.20,-.03,-.36,.09,-.15,-1.33,-.34,-.14,.06,.13,-.14,-.13,.23
1897,-.12,-.17,-.06,-.34,.14,-.24,-.84,-.37,-.19,.10,.18,-.20,-.27,.38
1898,-.28,-.29,-.27,-.32,-.26,-.26,-1.28,-.13,-.19,-.24,-.28,-.27,-.21,.36
1899,-.18,-.21,-.15,-.22,-.15,-.19,-1.16,.01,-.13,-.20,-.11,-.16,-.22,.56
1900,-.09,-.09,-.09,-.19,.14,-.30,-.69,-.07,-.13,.07,.20,-.29,-.29,.25
1901,-.15,-.11,-.20,-.13,-.06,-.30,-.63,-.01,-.07,-.07,-.06,-.27,-.34,.24
1902,-.30,-.36,-.25,-.54,-.09,-.35,-1.68,-.40,-.32,-.07,-.11,-.29,-.43,-.07
1903,-.39,-.40,-.39,-.48,-.33,-.39,-.57,-.37,-.53,-.26,-.39,-.36,-.40,-.48
1904,-.49,-.50,-.49,-.52,-.52,-.44,-.37,-.54,-.54,-.48,-.55,-.38,-.49,-1.30
1905,-.29,-.32,-.26,-.41,-.15,-.36,-.27,-.17,-.59,-.18,-.12,-.33,-.37,-.31
1906,-.23,-.24,-.22,-.24,-.22,-.23,-.48,.01,-.34,-.23,-.20,-.20,-.22,-.69
1907,-.40,-.48,-.32,-.58,-.34,-.29,-.84,-.69,-.46,-.32,-.35,-.21,-.37,-1.18
1908,-.44,-.47,-.41,-.49,-.47,-.35,-.53,-.50,-.47,-.45,-.49,-.28,-.48,.70
1909,-.48,-.48,-.48,-.50,-.50,-.44,-.89,-.50,-.40,-.46,-.54,-.37,-.52,-.55
1910,-.44,-.45,-.43,-.40,-.52,-.37,-.79,-.14,-.45,-.52,-.52,-.32,-.45,.18
1911,-.43,-.40,-.46,-.39,-.43,-.46,-.43,-.35,-.41,-.42,-.45,-.42,-.52,.07
1912,-.36,-.46,-.24,-.59,-.19,-.35,-.73,-.70,-.47,-.27,-.10,-.34,-.29,-1.61
1913,-.35,-.44,-.26,-.42,-.31,-.33,-.75,-.24,-.45,-.46,-.17,-.26,-.40,-1.02
